ranking_id,edition_year,edition_id,firm_ref,practice_area_id,ranking_tier,tier_rank,ranking_type,post_status,publication_status,listing_type,commentary,modified_ts
R0336,2024,ED2024JP,F0282,PA0274,2,,firm recommended,Publish,Active,,Leading practice in its field,2024-08-19 20:44:27
V0862,2024,ED2024FR,F0128,PA0018,,3,firm to watch,publish,Researching,,Highly regarded team,2024-11-05 09:19:52
R0052,2024,ED2024BE,F0170,PA0449,4,,firm recommended,Pending,Active,,,2024-10-17 20:05:29
R0076,2024,ED2024SE,F0062,PA0358,2,,firm to watch,Draft,Active,,Noted for complex transactions,2024-09-27 05:23:20
V0636,2025,ED2025AU,F0806,PA0068,,1,firm to watch,publish,Active,premium,Highly regarded team,2024-12-09 14:35:53
R0114,2024,ED2024SG,F0201,PA0481,5,,firm recommended,Pending,Researching,,Highly regarded team,2024-10-20 04:24:55
R0463,2025,ED2025SE,F0111,PA0358,3,,firm recommended,Draft,Active,,,2024-08-20 08:44:10
R0466,2025,ED2025SE,F0831,PA0864,5,,firm recommended,Publish,Researching,,Leading practice in its field,2024-11-09 22:38:51
V0983,2024,ED2024CA,F0323,PA0838,,5,firm recommended,publish,Active,standard,,2024-12-11 13:05:25
R0143,2024,ED2024AU,F0114,PA0050,5,,firm recommended,Pending,Researching,,Highly regarded team,2024-12-12 13:56:49
R0371,2025,ED2025HK,F0797,PA0659,1,,firm to watch,Draft,Researching,,Noted for complex transactions,2024-08-01 02:18:26
R0299,2025,ED2025FR,F0178,PA0651,4,,firm to watch,Draft,Active,,,2024-09-30 10:07:54
V0902,2024,ED2024NL,F0269,PA0128,,3,firm recommended,publish,Active,standard,Noted for complex transactions,2024-09-07 12:36:13
V0780,2025,ED2025US,F0024,PA0407,,5,firm recommended,pending,Active,sponsored,Highly regarded team,2024-08-14 00:58:45
V0584,2025,ED2025US,F0899,PA0681,,2,firm recommended,publish,Active,premium,Noted for complex transactions,2024-08-27 16:55:24
R0298,2024,ED2024US,F0845,PA0780,3,,firm recommended,Draft,Active,,Noted for complex transactions,2024-09-03 12:18:19
R0218,2024,ED2024IE,F0567,PA0398,5,,firm to watch,Draft,Active,,Noted for complex transactions,2024-11-12 20:10:07
R0006,2025,ED2025DE,F0496,PA0661,3,,firm recommended,Draft,Active,,Noted for complex transactions,2024-08-20 07:25:47
V0580,2025,ED2025UAE,F0437,PA0113,,3,firm to watch,publish,Active,standard,Highly regarded team,2024-09-08 15:58:50
V0968,2024,ED2024CA,F0438,PA0083,,TIER_1,firm recommended,pending,Researching,sponsored,Highly regarded team,2024-09-14 03:49:13
V0943,2025,ED2025US,F0473,PA0445,,2,firm recommended,draft,Active,standard,Noted for complex transactions,2024-11-07 15:05:36
V0993,2024,ED2024UK,F0560,PA0397,,3,firm recommended,Draft,Active,standard,Highly regarded team,2024-12-30 03:06:45
R0049,2024,ED2024ES,F0045,PA0131,1,,firm recommended,Pending,Archive,,Leading practice in its field,2024-12-26 10:51:05
R0389,2024,ED2024CA,F0580,PA0448,5,,firm to watch,Pending,Active,,Noted for complex transactions,2025-01-01 10:18:27
V0945,2024,ED2024UK,F9193,PA0567,,2,firm recommended,pending,Active,premium,,2024-12-03 11:59:27
R0117,2025,ED2025FR,F0198,PA0632,3,,firm to watch,Pending,Active,,,2024-08-26 00:34:47
V0963,2025,ED2025US,F0225,PA0722,,5,firm recommended,publish,Researching,standard,Leading practice in its field,2024-10-29 04:45:51
V0710,2024,ED2024JP,F0684,PA0282,,1,firm to watch,publish,Active,premium,,2024-12-22 14:52:57
V0930,2024,ED2024DE,F0197,PA0853,,3,firm recommended,publish,Active,premium,,2025-01-07 04:50:07
R0197,2025,ED2025DE,F0195,PA0853,1,,firm to watch,Pending,Researching,,,2024-10-09 05:20:29
V0812,2024,ED2024DE,F0204,PA0535,,4,firm recommended,draft,Active,premium,Leading practice in its field,2024-09-22 06:15:15
R0306,2025,ED2025FR,F0717,PA0516,3,,firm recommended,Pending,Researching,,Leading practice in its field,2024-08-18 14:57:38
V0788,2024,ED2024SE,F0105,PA0644,,1,firm recommended,publish,Active,,Highly regarded team,2024-09-03 07:48:19
R0330,2024,ED2024HK,F0649,PA0506,2,,firm recommended,Pending,Active,,Noted for complex transactions,2024-12-12 18:56:06
V0586,2025,ED2025UAE,F0119,PA0574,,1,firm recommended,publish,Active,sponsored,Leading practice in its field,2024-08-26 20:49:33
V0960,2025,ED2025NL,F0525,PA0602,,1,firm recommended,publish,Active,sponsored,,2024-12-19 00:07:54
V0792,2024,ED2024BE,F0374,PA0783,,0,firm recommended,draft,Active,standard,Leading practice in its field,2024-12-06 22:44:44
V0971,2025,ED2025IE,F0424,PA0608,,3,firm recommended,publish,Active,,Highly regarded team,2024-10-06 22:00:59
V0548,2025,ED2025UAE,F0522,PA0849,,1,firm recommended,publish,Active,standard,Noted for complex transactions,2024-11-30 21:11:59
V0929,2025,ED2025NL,F0923,PA0793,,2,firm recommended,publish,Researching,sponsored,Highly regarded team,2024-12-04 06:13:13
V0846,2024,ED2024FR,F0024,PA0798,,TIER_5,firm recommended,publish,Active,sponsored,Highly regarded team,2024-12-07 22:30:11
V0530,2025,ED2025CA,F0065,PA0019,,2,firm recommended,publish,Archive,premium,Leading practice in its field,2024-10-03 08:12:18
V0714,2024,ED2024FR,F0273,PA0731,,3,firm recommended,publish,Archive,sponsored,Noted for complex transactions,2024-10-27 23:23:24
R0494,2025,ED2025CA,F0219,PA0403,1,,firm recommended,Pending,Active,,,2024-09-28 07:35:38
R0364,2024,ED2024AU,F0666,PA0202,2,,firm recommended,Pending,Researching,,,2024-12-23 21:48:27
V0658,2025,ED2025UAE,F0981,PA0285,,5,firm recommended,draft,Researching,,Leading practice in its field,2024-08-08 11:11:08
V0583,2025,ED2025UK,F0651,PA0557,,1,firm recommended,publish,Active,sponsored,,2024-10-24 17:15:50
V0952,2024,ED2024IE,F0441,PA0430,,3,firm recommended,publish,Active,premium,Noted for complex transactions,2024-10-13 09:14:16
V0777,2025,ED2025UK,F0226,PA0653,,2,firm recommended,Publish,Active,,,2024-10-25 13:34:32
R0088,2024,ED2024HK,F0340,PA0418,5,,firm recommended,Pending,Researching,,Highly regarded team,2024-08-05 14:22:53
R0229,2025,ED2025IE,F0524,PA0733,4,,firm recommended,Draft,Researching,,,2024-09-11 17:21:38
V0821,2024,ED2024AU,F0515,PA0132,,2,firm recommended,draft,Active,standard,Leading practice in its field,2024-08-17 02:42:17
V0557,2024,ED2024US,F0902,PA0488,,1,firm recommended,draft,Active,premium,Noted for complex transactions,2024-10-28 09:35:36
R0021,2025,ED2025HK,F0055,PA0743,3,,firm recommended,Pending,Active,,Highly regarded team,2024-12-10 16:42:43
R0488,2024,ED2024US,F0665,PA0844,5,,firm to watch,Pending,Researching,,Highly regarded team,2024-09-24 20:23:54
R0210,2024,ED2024JP,F0079,PA0257,5,,firm recommended,Draft,Researching,,Leading practice in its field,2024-09-12 18:36:47
V0922,2025,ED2025UAE,F0455,PA0805,,5,firm to watch,publish,Researching,sponsored,Leading practice in its field,2024-10-26 15:02:53
R0493,2024,ED2024DE,F0252,PA0223,3,,firm recommended,Pending,Researching,,Highly regarded team,2024-10-29 23:29:18
R0177,2024,ED2024US,F0277,PA0850,5,,firm recommended,Draft,Active,,Leading practice in its field,2025-01-07 14:31:07
V0525,2024,ED2024IE,F0155,PA0608,,5,firm recommended,publish,Active,standard,,2024-10-15 23:33:04
V0731,2024,ED2024IE,,PA0067,,1,firm to watch,publish,Active,standard,Noted for complex transactions,2024-10-16 01:20:42
V0732,2024,ED2024SE,F0268,PA0641,,4,firm to watch,Draft,Active,premium,,2024-11-15 07:25:51
R0264,2024,ED2024UK,F0866,PA0021,4,,firm recommended,Draft,Active,,Leading practice in its field,2025-01-01 15:55:40
R0099,2025,ED2025SE,F0787,PA0444,1,,firm recommended,Pending,Active,,Highly regarded team,2024-10-06 11:48:33
R0316,2025,ED2025NL,F0716,PA0218,5,,firm recommended,Publish,Researching,,,2024-12-16 03:14:34
V0575,2025,ED2025UAE,F0972,PA0702,,3,firm recommended,draft,Active,standard,Leading practice in its field,2024-11-03 15:40:27
V0887,2025,ED2025NL,,PA0012,,3,firm recommended,publish,Active,standard,Leading practice in its field,2024-09-20 09:21:38
R0384,2025,ED2025US,F0138,PA0768,1,,firm to watch,Publish,Researching,,Noted for complex transactions,2025-01-08 01:33:58
V0539,2025,ED2025NL,F0111,PA0281,,2,firm recommended,publish,Active,,,2024-09-25 07:05:26
R0042,2024,ED2024BE,F0390,PA0418,3,,firm recommended,Draft,Active,,,2024-09-13 01:32:51
V0593,2025,ED2025UAE,F0510,PA0792,,1,firm recommended,publish,Researching,,,2024-08-13 21:08:19
R0110,2025,ED2025SG,F0361,PA0361,4,,firm recommended,Publish,Active,,Leading practice in its field,2024-08-23 00:23:20
V0994,2025,ED2025ES,F0712,PA0697,,1,firm to watch,publish,Researching,premium,Leading practice in its field,2024-12-07 14:07:59
R0039,2024,ED2024FR,F0747,PA0524,1,,firm recommended,Pending,Active,,Highly regarded team,2024-09-21 04:08:31
V0541,2025,ED2025JP,F0406,PA0183,,2,firm to watch,publish,Active,standard,Noted for complex transactions,2024-12-03 23:29:28
V0579,2024,ED2024JP,F0260,PA0600,,1,firm recommended,publish,Active,premium,Leading practice in its field,2024-10-27 17:11:43
V0979,2025,ED2025UAE,F0361,PA0082,,2,firm recommended,publish,Researching,premium,Noted for complex transactions,2024-11-18 15:05:30
V0787,2025,ED2025HK,F0684,PA0526,,1,firm recommended,publish,Active,standard,Highly regarded team,2025-01-09 22:31:31
V0712,2025,ED2025CA,F0855,PA0704,,2,firm recommended,publish,Active,premium,,2024-10-31 23:44:31
V0711,2024,ED2024FR,F0303,PA0472,,1,firm recommended,publish,Archive,premium,,2024-08-07 02:45:29
V0787,2025,ED2025HK,F0684,PA0526,,1,firm recommended,publish,Active,standard,Highly regarded team,2025-01-10 00:31:31
V0553,2025,ED2025FR,F0970,PA0738,,2,firm recommended,draft,Archive,,Highly regarded team,2024-11-25 20:39:06
V0561,2024,ED2024JP,F0895,PA0577,,4,firm recommended,publish,Researching,,,2025-01-01 18:49:07
V0604,2024,ED2024UK,F0285,PA0111,,3,firm recommended,publish,Active,standard,Noted for complex transactions,2024-12-23 07:44:19
V0599,2025,ED2025ES,F0210,PA0818,,2,firm recommended,publish,Active,standard,,2024-12-19 16:50:48
V0810,2025,ED2025AU,F0973,PA0573,,2,firm recommended,publish,Researching,,,2024-12-29 02:27:22
V0591,2025,ED2025UK,F0800,PA0405,,0,firm recommended,publish,Researching,sponsored,,2024-10-15 21:08:57
R0061,2024,ED2024HK,F0664,PA0289,0,,firm recommended,Draft,Researching,,,2025-01-06 17:49:20
R0482,2024,ED2024IE,F9006,PA0516,4,,firm recommended,Draft,Active,,,2024-12-19 18:19:34
R0424,2024,ED2024SE,F0061,PA0774,2,,firm recommended,Publish,Active,,,2024-12-27 11:15:40
V0839,2024,ED2024UAE,F0185,PA0458,,TIER_4,firm to watch,publish,Active,,,2024-08-01 12:31:38
V0786,2025,ED2025FR,F0210,PA0699,,2,firm recommended,Publish,Active,,Highly regarded team,2024-11-12 17:28:03
R0315,2024,ED2024BE,F0448,PA0093,3,,firm recommended,Draft,Active,,,2024-08-01 23:02:39
R0043,2025,ED2025ES,F0660,PA0053,2,,firm recommended,Pending,Active,,Leading practice in its field,2024-10-08 03:53:34
R0025,2024,ED2024JP,F0492,PA0510,3,,firm to watch,Publish,Researching,,,2024-10-18 17:38:02
R0440,2025,ED2025AU,F0360,PA0346,4,,firm to watch,Draft,Active,,,2024-09-02 17:28:05
R0185,2024,ED2024HK,F0476,PA0427,4,,firm recommended,Publish,Active,,,2024-10-28 18:09:28
V0551,2024,ED2024HK,F0205,PA0778,,3,firm recommended,draft,Active,premium,,2024-11-24 07:47:00
R0086,2024,ED2024FR,F0654,PA0034,2,,firm recommended,Draft,Active,,Leading practice in its field,2024-11-18 11:12:56
R0398,2024,ED2024SG,F0458,PA0450,2,,firm recommended,Publish,Active,,,2024-11-23 14:36:41
R0053,2024,ED2024UK,F0586,PA0224,3,,firm recommended,Pending,Researching,,Leading practice in its field,2024-11-06 19:57:39
R0302,2024,ED2024NL,F0899,PA0742,5,,firm recommended,Pending,Active,,,2024-12-24 03:10:32
V0882,2025,ED2025DE,F0869,PA0677,,1,firm recommended,publish,Archive,standard,,2024-11-09 02:44:10
V0725,2024,ED2024BE,F0615,PA0685,,3,firm recommended,pending,Active,,,2024-11-10 09:43:53
R0449,2025,ED2025SE,F0549,PA0322,1,,firm to watch,Draft,Researching,,Noted for complex transactions,2024-12-18 19:56:18
V0612,2025,ED2025UAE,F0173,PA0807,,2,firm recommended,Publish,Researching,sponsored,,2024-10-18 15:54:48
R0435,2025,ED2025SG,F0686,PA0027,1,,firm recommended,Draft,Archive,,,2024-08-20 04:27:39
V0517,2025,ED2025FR,F0148,PA0556,,3,firm recommended,draft,Active,standard,Leading practice in its field,2024-12-15 11:36:09
V0726,2025,ED2025BE,F0514,PA0637,,4,firm recommended,publish,Active,,,2024-08-08 20:11:57
V0927,2025,ED2025AU,F0293,PA0668,,2,firm recommended,publish,Archive,premium,,2024-08-15 21:27:56
R0462,2024,ED2024HK,F0520,PA0153,4,,firm recommended,Publish,Researching,,Leading practice in its field,2024-11-13 09:21:00
R0098,2024,ED2024JP,F0358,PA0478,2,,firm recommended,Publish,Active,,,2024-08-22 04:31:53
V0745,2025,ED2025NL,F0798,PA0566,,3,firm recommended,pending,Active,standard,,2024-08-03 01:44:05
R0404,2025,ED2025CA,F0844,PA0162,2,,firm recommended,Pending,Active,,,2024-12-23 01:48:55
R0227,2025,ED2025US,F0897,PA0290,1,,firm recommended,Draft,Researching,,Leading practice in its field,2024-10-05 01:08:48
V0637,2025,ED2025IE,F0632,PA0746,,5,firm to watch,publish,Researching,sponsored,Leading practice in its field,2024-11-21 01:13:02
V0956,2024,ED2024US,F0442,PA0719,,4,firm recommended,publish,Archive,premium,Noted for complex transactions,2024-10-13 19:34:58
R0011,2025,ED2025UK,F0675,PA0547,2,,firm recommended,Draft,Researching,,Noted for complex transactions,2024-11-10 11:48:04
R0468,2025,ED2025SG,F0387,PA0085,3,,firm recommended,Draft,Researching,,Leading practice in its field,2024-11-17 23:37:42
V0705,2025,ED2025US,F0736,PA0139,,1,firm recommended,publish,Active,sponsored,Noted for complex transactions,2024-08-19 19:22:57
V0720,2024,ED2024DE,F0716,PA0652,,1,firm recommended,publish,Researching,,,2024-08-14 20:54:44
V0540,2024,ED2024US,F0889,PA0335,,3,firm recommended,publish,Active,sponsored,Highly regarded team,2025-01-09 12:29:21
V0986,2025,ED2025AU,F0649,PA0633,,2,firm recommended,publish,Active,standard,,2024-11-04 14:20:36
R0492,2025,ED2025FR,F0432,PA0428,2,,firm recommended,Draft,Active,,Highly regarded team,2024-10-30 00:08:47
V0976,2025,ED2025ES,F0040,PA0764,,2,firm recommended,pending,Researching,premium,Noted for complex transactions,2024-12-18 08:56:49
R0439,2025,ED2025CA,F0104,PA0740,1,,firm recommended,Publish,Researching,,,2024-12-03 04:10:10
R0394,2025,ED2025ES,F0670,PA0682,1,,firm to watch,Pending,Active,,,2024-12-17 19:41:46
V0650,2024,ED2024DE,F0509,PA0622,,1,firm recommended,publish,Researching,,Highly regarded team,2024-10-05 18:15:31
V0516,2024,ED2024UAE,F0481,PA0295,,4,firm recommended,publish,Active,standard,,2024-10-25 22:16:32
R0430,2025,ED2025US,0,PA0681,3,,firm recommended,Publish,Researching,,Leading practice in its field,2024-10-21 21:08:37
R0483,2025,ED2025DE,F9185,PA0257,5,,firm recommended,Publish,Active,,,2024-12-04 01:53:14
V0614,2025,ED2025CA,F0391,PA0021,,TIER_3,firm recommended,publish,Active,,Leading practice in its field,2024-08-18 08:55:04
R0078,2024,ED2024HK,F0713,PA0435,2,,firm recommended,Pending,Researching,,,2024-11-01 14:10:22
V0814,2024,ED2024CA,F0838,PA0430,,2,firm to watch,draft,Active,standard,Leading practice in its field,2024-09-16 08:51:14
V0654,2025,ED2025US,F0960,PA0727,,1,firm recommended,publish,Active,standard,,2024-10-10 17:20:18
V0554,2025,ED2025ES,F0815,PA0684,,4,firm recommended,draft,Researching,standard,,2024-08-01 01:15:42
V0875,2025,ED2025UK,F0600,PA0242,,3,firm to watch,publish,Researching,standard,Leading practice in its field,2025-01-07 08:01:41
V0885,2025,ED2025UK,F0951,PA0678,,3,firm to watch,pending,Researching,standard,Leading practice in its field,2024-11-15 05:25:30
R0477,2025,ED2025JP,F9352,PA0713,4,,firm recommended,Pending,Active,,,2024-08-14 16:40:02
R0419,2024,ED2024ES,F0990,PA0517,1,,firm to watch,Pending,Active,,,2024-08-28 12:24:32
R0034,2025,ED2025HK,F0006,PA0368,5,,firm recommended,Draft,Active,,Highly regarded team,2024-09-06 19:26:47
R0280,2025,ED2025DE,F0011,PA0326,2,,firm recommended,Draft,Researching,,,2024-08-02 02:06:33
V0657,2024,ED2024BE,F0978,PA0257,,2,firm recommended,publish,Active,sponsored,Noted for complex transactions,2024-08-29 18:30:42
R0003,2025,ED2025NL,F0705,PA0611,5,,firm recommended,Pending,Archive,,,2024-12-29 15:43:19
R0027,2024,ED2024SE,F9441,PA0077,2,,firm recommended,Draft,Active,,,2024-08-10 21:14:30
V0509,2025,ED2025SE,F0390,PA0398,,1,firm recommended,publish,Active,,Highly regarded team,2024-10-05 04:10:19
R0250,2024,ED2024JP,F0724,PA0705,2,,firm to watch,Pending,Researching,,Leading practice in its field,2024-08-20 12:04:43
R0277,2025,ED2025DE,F0144,PA0767,4,,firm recommended,Publish,Active,,Leading practice in its field,2024-09-27 14:57:36
R0211,2025,ED2025IE,F0890,PA0670,2,,firm to watch,Pending,Active,,,2024-12-14 11:51:06
R0150,2024,ED2024FR,F0285,PA0434,1,,firm recommended,Draft,Researching,,,2024-08-29 14:25:11
R0134,2024,ED2024CA,F0799,PA0322,1,,firm recommended,Draft,Active,,Noted for complex transactions,2024-12-18 04:32:32
R0320,2024,ED2024FR,F0217,PA0310,2,,firm recommended,Publish,Active,,Highly regarded team,2024-10-22 15:57:30
R0137,2025,ED2025IE,F0511,PA0048,5,,firm recommended,Publish,Researching,,Noted for complex transactions,2024-10-27 22:07:53
R0258,2024,ED2024ES,F0912,PA0802,2,,firm recommended,Pending,Active,,Highly regarded team,2024-09-20 19:10:07
V0800,2025,ED2025UK,F0282,PA0390,,4,firm to watch,publish,Archive,standard,Highly regarded team,2024-12-18 16:41:15
R0056,2024,ED2024ES,F0002,PA0665,2,,firm recommended,Publish,Archive,,Noted for complex transactions,2024-10-03 00:34:04
R0240,2025,ED2025NL,F0646,PA0461,4,,firm recommended,Publish,Researching,,Noted for complex transactions,2024-12-14 22:45:58
V0670,2024,ED2024DE,F0784,PA0463,,2,firm recommended,publish,Researching,,Leading practice in its field,2024-11-08 04:24:19
R0489,2024,ED2024SE,F0700,PA0503,3,,firm recommended,Publish,Active,,Leading practice in its field,2024-11-02 00:54:12
V0878,2024,ED2024JP,,PA0067,,1,firm recommended,publish,Researching,standard,Leading practice in its field,2025-01-05 23:57:18
V0679,2025,ED2025HK,F0836,PA0389,,5,firm recommended,pending,Active,,Highly regarded team,2024-08-15 10:42:58
V0527,2025,ED2025SG,F0971,PA0164,,3,firm recommended,publish,Active,sponsored,Highly regarded team,2024-08-21 14:02:57
R0487,2025,ED2025UK,F0004,PA0577,1,,firm recommended,Pending,Active,,Noted for complex transactions,2024-09-13 14:19:48
V0538,2025,ED2025UK,F0081,PA0378,,2,firm to watch,publish,Active,premium,Noted for complex transactions,2024-10-26 17:42:12
V0630,2025,ED2025ES,F0042,PA0868,,2,firm recommended,pending,Active,premium,,2024-09-30 06:17:50
V0900,2024,ED2024FR,F0487,PA0737,,2,firm recommended,publish,Active,premium,Noted for complex transactions,2024-09-18 06:40:41
R0213,2024,ED2024FR,F0382,PA0743,4,,firm recommended,Draft,Researching,,Highly regarded team,2024-12-14 14:30:33
V0852,2024,ED2024CA,F0550,PA0014,,3,firm recommended,publish,Active,sponsored,Leading practice in its field,2024-12-29 19:26:43
R0044,2024,ED2024SE,F0187,PA0042,0,,firm recommended,Draft,Active,,Noted for complex transactions,2024-09-11 03:53:13
R0144,2024,ED2024AU,F0948,PA0142,3,,firm recommended,Pending,Researching,,Highly regarded team,2024-08-29 17:44:12
R0271,2024,ED2024FR,F0407,PA0790,2,,firm recommended,Draft,Active,,,2024-12-03 19:45:05
V0879,2025,ED2025US,F0930,PA0392,,5,firm recommended,pending,Active,,Noted for complex transactions,2024-09-25 15:54:33
V0992,2025,ED2025UK,F0987,PA0499,,3,firm recommended,Publish,Archive,standard,Noted for complex transactions,2024-10-17 05:48:19
V0716,2025,ED2025FR,F0303,PA0385,,4,firm recommended,publish,Researching,standard,,2024-11-22 02:31:55
V0564,2025,ED2025DE,F0692,PA0556,,2,firm to watch,publish,Active,standard,Leading practice in its field,2024-11-25 22:13:52
R0382,2024,ED2024US,F0249,PA0165,2,,firm recommended,Pending,Active,,Highly regarded team,2024-08-09 22:22:31
V0818,2024,ED2024SG,F0912,PA0141,,5,firm recommended,publish,Active,,Noted for complex transactions,2024-10-20 19:05:16
R0105,2024,ED2024SG,F0575,PA0802,5,,firm recommended,Pending,Archive,,Leading practice in its field,2024-10-02 20:42:11
R0429,2025,ED2025US,F0437,PA0600,1,,firm recommended,Draft,Active,,,2024-12-26 06:40:39
R0148,2025,ED2025FR,F0108,PA0349,1,,firm recommended,Draft,Researching,,,2024-12-26 16:07:50
V0776,2025,ED2025UK,F0418,PA0793,,1,firm recommended,pending,Researching,premium,,2024-11-22 02:28:18
V0989,2024,ED2024US,F0285,PA0357,,1,firm recommended,publish,Researching,premium,Leading practice in its field,2024-10-23 11:31:37
V0728,2024,ED2024AU,F9717,PA0387,,3,firm recommended,publish,Active,premium,Leading practice in its field,2025-01-02 21:33:07
R0259,2025,ED2025IE,F0436,PA0409,2,,firm recommended,Publish,Active,,,2024-12-20 09:35:48
R0282,2024,ED2024SE,F0354,PA0644,0,,firm recommended,Draft,Active,,Leading practice in its field,2025-01-07 08:59:34
R0067,2025,ED2025FR,F0395,PA0151,2,,firm recommended,Pending,Researching,,,2024-12-12 08:33:46
R0354,2025,ED2025AU,F0849,PA0843,3,,firm recommended,Pending,Researching,,Highly regarded team,2024-12-18 03:42:46
V0842,2024,ED2024ES,F0178,PA0039,,5,firm recommended,draft,Researching,,Highly regarded team,2024-11-26 18:52:03
V0894,2024,ED2024SG,F0738,PA0272,,5,firm recommended,publish,Active,sponsored,Highly regarded team,2024-10-27 23:24:41
V0680,2025,ED2025AU,F0417,PA0024,,0,firm recommended,publish,Active,premium,Noted for complex transactions,2024-12-17 05:13:47
V0898,2024,ED2024UAE,F0436,PA0023,,3,firm recommended,publish,Researching,sponsored,Noted for complex transactions,2024-08-15 08:10:48
R0063,2024,ED2024UAE,F0387,PA0394,0,,firm to watch,Publish,Researching,,Leading practice in its field,2024-08-26 15:59:56
V0977,2024,ED2024ES,F0561,PA0311,,5,firm recommended,pending,Researching,premium,Leading practice in its field,2024-10-14 07:09:43
V0628,2025,ED2025NL,F0381,PA0210,,2,firm recommended,pending,Researching,standard,,2024-09-17 15:29:18
V0874,2024,ED2024JP,F0774,PA0070,,4,firm recommended,publish,Archive,,,2024-12-08 10:17:07
R0459,2024,ED2024NL,F0537,PA0264,0,,firm recommended,Draft,Active,,,2024-12-11 13:39:34
R0032,2024,ED2024ES,F0421,PA0127,5,,firm recommended,Draft,Active,,Leading practice in its field,2024-09-13 21:40:48
R0322,2024,ED2024NL,F0355,PA0703,4,,firm recommended,Publish,Active,,,2025-01-04 00:48:56
V0864,2025,ED2025AU,F0864,PA0177,,5,firm recommended,draft,Active,standard,Highly regarded team,2024-08-27 13:48:35
